3.58	0.341	0.341
1.53	0.048	0.048
3.52	0.078	0.078
2.41	0.06	0.06
1.69	0.06	0.06
1.48	0.036	0.036
4.45	0.072	0.072
0.85	0.042	0.042
1.83	0.042	0.042
1.04	0.14	0.14
1.72	0.042	0.042
4.74	0.06	0.06
3.16	0.054	0.054
0.83	0.042	0.042
1.28	0.036	0.036
1	0.048	0.048
2.47	0.319	0.319
0.71	0.072	0.072
1.17	0.036	0.036
2.06	0.048	0.048
0.98	0.072	0.072
4.88	0.084	0.084
6.42	0.102	0.102
1.47	0.09	0.09
0.84	0.078	0.078
1.11	0.066	0.066
1.4	0.072	0.072
1.48	0.15	0.15
2.73	0.066	0.066
1.42	0.078	0.078
0.97	0.078	0.078
1.05	0.054	0.054
1.05	0.048	0.048
3.56	0.078	0.078
1.72	0.072	0.072
3.15	0.066	0.066
3.05	0.054	0.054
0.91	0.072	0.072
